seconds,predators,prey
0.54,21,69
0.54,32,58
0.54,38,55
0.54,43,54
0.54,44,64
0.54,48,74
0.54,55,69
0.54,63,66
0.54,73,59
0.54,79,54
0.54,76,61
0.54,77,62
0.54,75,50
0.54,69,47
0.54,69,49
0.54,71,47
0.54,70,41
0.54,69,42
0.54,67,38
0.54,69,30
0.54,67,28
0.54,68,24
0.54,69,26
0.54,70,26
0.54,62,25
0.54,62,24
0.54,60,22
0.54,57,24
0.54,55,22
0.54,53,21
0.54,49,19
0.54,47,20
0.54,41,21
0.54,39,23
0.54,35,25
0.54,30,24
0.54,29,29
0.54,27,30
0.54,28,32
0.54,27,30
0.54,29,36
0.54,27,35
0.54,25,41
0.54,24,45
0.54,21,50
0.54,22,53
0.54,22,58
0.54,23,59
0.54,27,63
0.54,27,56
0.54,27,60
0.54,29,70
0.54,29,72
0.54,29,73
0.54,30,72
0.54,34,72
0.54,37,75
0.54,39,82
0.54,40,75
0.54,42,76
0.54,48,79
0.54,49,81
0.54,47,77
0.54,52,77
0.54,58,73
0.54,63,70
0.54,63,68
0.54,66,65
0.54,73,59
0.54,75,56
0.54,76,57
0.54,78,58
0.54,82,49
0.54,85,39
0.54,89,36
0.54,96,34
0.54,92,37
0.54,88,33
0.54,87,27
0.54,89,24
0.54,86,26
0.54,81,18
0.54,83,11
0.54,81,7
0.54,75,9
0.54,71,10
0.54,59,10
0.54,55,11
0.54,46,12
0.54,43,13
0.54,39,14
0.54,32,14
0.54,28,15
0.54,24,15
0.54,20,15
0.54,18,19
0.54,15,16
0.54,17,15
0.54,17,16
0.54,16,19
0.54,16,22
0.54,16,22
0.54,17,27
0.54,15,26
0.54,13,24
0.54,13,26
0.54,14,26
0.54,12,28
0.54,11,27
0.54,9,29
0.54,10,33
0.54,9,36
0.54,11,38
0.54,11,39
0.54,13,45
0.54,10,53
0.54,11,52
0.54,13,62
0.54,12,70
0.54,14,74
0.54,14,85
0.54,15,94
0.54,14,100
0.54,16,110
0.54,16,129
0.54,18,141
0.54,18,155
0.54,19,169
0.54,20,188
0.54,22,202
0.54,22,221
0.54,23,235
0.54,24,261
0.54,25,277
0.54,30,297
0.54,32,310
0.54,33,319
0.54,40,343
0.54,48,367
0.54,52,363
0.54,60,373
0.54,69,371
0.54,76,389
0.54,83,397
0.54,92,386
0.54,103,369
0.54,115,350
0.54,121,328
0.54,133,304
0.54,137,311
0.54,144,299
0.54,145,287
0.54,148,258
0.54,142,237
0.54,152,218
0.54,149,182
0.54,145,157
0.54,135,139
0.54,133,123
0.54,135,102
0.54,138,82
0.54,130,56
0.54,121,40
0.54,114,38
0.54,111,38
0.54,104,28
0.54,102,24
0.54,96,24
0.54,92,20
0.54,85,16
0.54,81,14
0.54,72,13
0.54,68,15
0.54,56,15
0.54,57,13
0.54,55,14
0.54,50,16
0.54,45,15
0.54,36,15
0.54,28,18
0.54,24,21
0.54,23,20
0.54,16,22
0.54,14,27
0.54,13,30
0.54,11,33
0.54,9,35
0.54,8,37
0.54,8,42
0.54,11,44
0.54,13,49
0.54,13,57
0.54,15,59
0.54,15,65
0.54,13,74
0.54,13,85
0.54,13,93
0.54,13,98
0.54,16,103
0.54,17,115
0.54,20,124
0.54,18,129
0.54,18,145
0.54,24,144
0.54,26,155
0.54,28,156
0.54,30,168
0.54,35,176
0.54,41,178
0.54,42,201
0.54,43,197
0.54,45,187
0.54,52,184
0.54,56,178
0.54,65,184
0.54,73,183
0.54,70,177
0.54,76,172
0.54,84,168
0.54,97,144
0.54,100,129
0.54,109,116
0.54,113,97
0.54,123,83
0.54,131,70
0.54,136,65
0.54,135,54
0.54,143,45
0.54,149,32
0.54,142,29
0.54,138,17
0.54,132,17
0.54,127,14
0.54,119,11
0.54,112,7
0.54,101,6
0.54,92,6
0.54,78,8
0.54,62,4
0.54,57,5
